ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
18.0,-16.55074157489763,14.570365567624805,2020.0,2020-01-01,2020-12-31,Sentinel-2,1038.3333333333333,1275.6666666666667,1777.857142857143,2401.2380952380954,2714.0476190476193,2952.7619047619046,3161.952380952381,3401.5714285714284,3559.428571428571,3491.5714285714284,5428.571428571428,4836.047619047618
17.0,-16.55069078475322,14.568106972845625,2020.0,2020-01-01,2020-12-31,Sentinel-2,1051.457142857143,1277.5428571428574,1797.657142857143,2466.314285714286,2762.6,2950.7714285714287,3167.057142857143,3369.885714285714,3544.0857142857144,3644.3142857142857,5617.942857142857,5140.685714285714
19.0,-16.550792370346468,14.572624245261084,2020.0,2020-01-01,2020-12-31,Sentinel-2,1099.3809523809523,1342.3650793650793,1852.984126984127,2523.6190476190477,2876.9999999999995,3108.5555555555557,3342.3492063492063,3583.0158730158723,3703.190476190476,3794.7142857142853,5501.317460317459,4806.952380952381
20.0,-16.550843170797098,14.574882992267291,2020.0,2020-01-01,2020-12-31,Sentinel-2,1002.0,1226.0,1689.4000000000003,2346.8,2642.6000000000004,3032.3999999999996,3262.6000000000004,3516.2000000000007,3695.2000000000003,3538.0,5248.0,4608.2
21.0,-16.55089397600885,14.57714179791592,2020.0,2020-01-01,2020-12-31,Sentinel-2,1002.0,1124.0,1580.0,2097.0,2458.0,2802.0,3090.0,3104.0,3407.0,3511.0,5007.0,4483.0
22.0,-16.550944785787987,14.579400653567646,2020.0,2020-01-01,2020-12-31,Sentinel-2,1139.6666666666665,1309.9999999999998,1851.3333333333333,2489.333333333333,2821.6666666666665,3108.6666666666665,3314.0,3567.3333333333335,3680.333333333333,3791.9999999999995,5651.999999999999,5167.333333333333
24.0,-16.551046418445537,14.583918487985802,2020.0,2020-01-01,2020-12-31,Sentinel-2,1013.0,1145.1142857142856,1627.657142857143,2211.4476190476194,2595.5428571428574,2926.5809523809526,3135.0952380952385,3293.4952380952386,3529.066666666667,3673.0,5112.323809523809,4398.838095238096
25.0,-16.55109724108665,14.586177456160089,2020.0,2020-01-01,2020-12-31,Sentinel-2,1052.0,1280.56,1833.76,2513.312,2901.304,3206.2559999999994,3410.9680000000003,3617.0319999999997,3795.6079999999997,3919.0,5444.568,4696.9839999999995
27.0,-16.551198898540004,14.590695474177425,2020.0,2020-01-01,2020-12-31,Sentinel-2,1046.0,1162.5849056603774,1672.3679245283017,2220.66037735849,2710.27358490566,3147.9528301886794,3433.169811320755,3683.2358490566035,3847.9716981132074,3951.0,5103.009433962264,4178.179245283019
23.0,-16.550995599976783,14.581659552186808,2020.0,2020-01-01,2020-12-31,Sentinel-2,901.2000000000002,1048.0571428571432,1481.0761904761905,1877.961904761905,2222.0380952380956,2872.180952380953,3095.133333333333,3404.0380952380956,3557.12380952381,3390.8,4396.047619047619,3704.8285714285716
