ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,error,VV,VH,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
IRD_1601,-16.516736738417038,14.488470061083607,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2098.933962264151,2139.509433962264,2187.4811320754716,2727.1415094339623,2911.084905660377,3247.301886792453,3651.8396226415093,3565.094339622641,4087.622641509434,1164.0849056603774,348.26415094339626,4294.367924528301,3345.7075471698117
IRD_1604,-16.52803545045987,14.484847044808527,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2042.0,2022.0,2158.0,2789.0,2961.0,3315.0,3702.0,3561.0,4117.0,1121.0,232.0,4676.0,3737.0
IRD_1602,-16.514585861828905,14.489393240676883,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2275.846153846154,2146.269230769231,2251.25,2796.8269230769233,2965.5769230769233,3318.4038461538466,3693.326923076923,3547.6730769230767,4080.3846153846152,1327.076923076923,375.7307692307693,4212.788461538462,3380.6153846153848
IRD_1605,-16.528682696576073,14.485061613986964,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2013.0,1950.8867924528304,2049.5283018867926,2644.792452830189,2833.150943396226,3221.962264150944,3620.3962264150946,3499.4339622641514,4100.33962264151,1127.0,229.0,4496.622641509434,3494.433962264151
IRD_1607,-16.530686643525293,14.494320523687696,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2130.755905511811,2120.0,2262.543307086614,2875.3858267716532,3104.2440944881887,3490.9921259842517,3910.606299212598,3776.661417322835,4399.874015748031,1230.4881889763778,302.2125984251968,4775.606299212597,3695.4173228346453
IRD_1600,-16.528422490162786,14.533523803412551,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2719.333333333333,2713.015873015873,2697.222222222222,3054.0,3108.4444444444443,3368.8888888888887,3735.698412698412,3832.888888888889,4106.269841269841,1742.3333333333335,610.6666666666666,3822.0,3187.3968253968255
IRD_1603,-16.54289148347061,14.467364721986726,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2057.0,2033.0,2119.0,2654.0,2794.0,3191.0,3575.0,3477.0,4003.0,1125.0,315.0,4306.0,3380.0
IRD_1606,-16.533009258241233,14.49440312129288,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2068.5809523809526,2033.2666666666669,2144.0,2724.847619047619,2878.761904761905,3268.7523809523805,3642.809523809524,3591.2380952380954,4095.3523809523817,1135.1809523809522,244.43809523809526,4512.1809523809525,3540.895238095238
IRD_1609,-16.531647570406964,14.491968402335164,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2175.0,2134.8,2263.4,2907.6000000000004,3034.2000000000003,3438.4,3846.0000000000005,3741.6,4242.0,1203.0,257.0,4656.6,3772.8
IRD_1608,-16.530830285213142,14.494702510153513,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2176.0,2107.4,2263.2,2894.8,3108.0000000000005,3507.8000000000006,3921.2,3770.0000000000005,4388.000000000001,1244.0,300.0,4712.6,3766.6000000000004
IRD_1610,-16.53130707362445,14.494027168850995,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2074.057142857143,2132.4857142857145,2258.457142857143,2842.409523809524,3022.952380952381,3372.2000000000007,3772.876190476191,3702.6571428571433,4253.771428571428,1182.1238095238095,304.00952380952384,4636.1238095238095,3571.9333333333334
IRD_1613,-16.534431913539247,14.470807654161774,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2053.3759999999997,1946.7760000000003,2016.4879999999998,2533.032,2711.08,3065.8399999999992,3446.24,3316.112,3838.776,1152.52,316.59200000000004,4031.6799999999994,3066.12
IRD_1611,-16.535701837988967,14.472600188430045,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2194.0,2032.0,2131.0,2677.0,2837.0,3191.0,3564.0,3415.0,3985.0,1284.0,336.0,4202.0,3365.0
IRD_1614,-16.536558873952465,14.473064598316308,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2240.0,1954.0,2079.0,2665.0,2854.0,3211.0,3609.0,3350.0,3995.0,1307.0,327.0,4218.0,3406.0
IRD_1615,-16.536386390120544,14.472326437622604,2016,2016-01-01,2016-12-31,Sentinel-2,,,,2237.0,2039.7142857142856,2111.1428571428573,2644.285714285714,2776.4285714285716,3123.4285714285716,3515.7142857142853,3337.285714285714,3921.5714285714284,1289.0,358.0,4139.571428571428,3327.428571428571
