Longitude_Latitude,ProfileID
"(-16.503547849955595, 14.584119150023904)",IRD_204
"(-16.50346862693349, 14.583861222062435)",IRD_205
"(-16.50339162993806, 14.583670754505851)",IRD_206
"(-16.503050286519983, 14.584442841570205)",IRD_207
"(-16.502382156755132, 14.584131965150467)",IRD_208
"(-16.49827162229714, 14.58455861545055)",IRD_209
"(-16.497744085970766, 14.584651989289075)",IRD_210
"(-16.498250088446586, 14.58524238787435)",IRD_211
"(-16.497604658952653, 14.585582979733339)",IRD_212
"(-16.497914444358685, 14.583282642760025)",IRD_213
"(-16.498430289231525, 14.583808269112936)",IRD_214
"(-16.49827181138712, 14.58812880044854)",IRD_215
"(-16.497503369669737, 14.58746300238795)",IRD_216
"(-16.497148459973314, 14.587808771781352)",IRD_217
"(-16.49581684854352, 14.58763638314565)",IRD_218
"(-16.496908687855505, 14.58959651882243)",IRD_219
"(-16.496773177081362, 14.589873352234322)",IRD_220
"(-16.496355109555314, 14.589431709422112)",IRD_221
"(-16.499614418137217, 14.585826245329521)",IRD_222
"(-16.499415104349573, 14.58580324664353)",IRD_223
"(-16.49916229327575, 14.586115814334688)",IRD_224
"(-16.498871677506134, 14.585633152874095)",IRD_225
"(-16.507379506621245, 14.592658438701703)",IRD_226
"(-16.506227022391137, 14.59270778080857)",IRD_227
"(-16.506649843742633, 14.591528959975278)",IRD_228
"(-16.50594381525998, 14.591516530972148)",IRD_229
"(-16.505572158744478, 14.592041605754577)",IRD_230
"(-16.516315428432957, 14.589908927514541)",IRD_231
"(-16.51557838121702, 14.590423589505033)",IRD_232
"(-16.515119568959864, 14.59053228456319)",IRD_233
"(-16.515053687340362, 14.590862419291787)",IRD_234
"(-16.50908982998491, 14.58459529743647)",IRD_235
"(-16.509041970143052, 14.585200726975415)",IRD_236
"(-16.509698385448043, 14.583044266711793)",IRD_237
"(-16.506861801682092, 14.586527742672708)",IRD_238
"(-16.522963392605437, 14.614397210350212)",IRD_239
"(-16.522987309772848, 14.617996472582831)",IRD_240
"(-16.525466980935203, 14.618746451437385)",IRD_241
"(-16.52439964854072, 14.619269047918506)",IRD_242
"(-16.52419938028956, 14.619941211181496)",IRD_243
"(-16.53056501612817, 14.609730446110442)",IRD_244
