ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,error,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,QA_PIXEL
MW lrep_MW499,34.55,-15.37,1989,1989-01-01,1989-12-31,Landsat-4,,16097.420367365892,12927.692732621212,12757.691200429665,19930.953320350087,15771.41935884894,12389.749674166458,5896.538288932288
MW lrep_MW5,34.81,-15.35,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW500,34.64,-15.27,1989,1989-01-01,1989-12-31,Landsat-4,,13776.66482610656,11863.758880323148,11759.264161321058,18064.521305217088,14371.261619156036,11126.657223073553,5839.698965431773
MW lrep_MW501,34.63,-15.28,1989,1989-01-01,1989-12-31,Landsat-4,,13776.66482610656,11863.758880323148,11759.264161321058,18064.521305217088,14371.261619156036,11126.657223073553,5839.698965431773
MW lrep_MW504,34.72,-15.27,1989,1989-01-01,1989-12-31,Landsat-4,,13776.66482610656,11863.758880323148,11759.264161321058,18064.521305217088,14371.261619156036,11126.657223073553,5839.698965431773
MW lrep_MW51,34.67,-15.33,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW54,34.71,-15.3,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW59,34.77,-15.33,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW60,34.77,-15.34,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW61,34.77,-15.28,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW62,34.75,-15.28,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW63,34.74,-15.28,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW64,34.72,-15.3,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW66,34.77,-15.42,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW67,34.78,-15.4,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW68,34.72,-15.7,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW69,34.71,-15.7,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW7,34.83,-15.35,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW70,34.69,-15.7,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW71,34.66,-15.68,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW72,34.65,-15.67,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW73,34.62,-15.65,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW74,34.6,-15.65,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW76,34.59,-15.65,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW77,34.58,-15.64,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW78,34.58,-15.63,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753667,5473.05897855353
MW lrep_MW84,34.44,-15.58,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW86,34.46,-15.57,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW87,34.48,-15.58,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW85,34.45,-15.57,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW88,34.49,-15.58,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW89,34.52,-15.6,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW90,34.43,-15.77,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW91,34.42,-15.76,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW92,34.41,-15.74,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW93,34.41,-15.73,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW94,34.4,-15.72,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW95,34.39,-15.71,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206353,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW96,34.41,-15.69,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW97,34.42,-15.68,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW98,34.43,-15.66,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MW99,34.45,-15.64,1988,1988-01-01,1988-12-31,Landsat-4,,8602.181012754329,9632.295199834518,9200.369872206347,18753.836293302928,13956.701956395256,10709.585701753664,5473.05897855353
MW lrep_MZ102,33.39,-11.77,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249157
MW lrep_MZ103,33.42,-11.77,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249157
MW lrep_MZ100,33.6,-11.89,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249157
MW lrep_MZ101,33.48,-11.77,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249157
MW lrep_MZ10,33.55,-11.95,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ1,33.61,-11.92,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ11,33.64,-12.02,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ105,33.38,-11.78,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ112,33.8,-11.97,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ107,33.33,-11.68,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ111,33.76,-11.91,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ110,33.8,-11.88,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ113,33.83,-11.86,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ114,33.76,-11.86,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ115,33.79,-11.87,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ116,33.71,-11.89,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ117,33.51,-11.7,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ118,33.41,-11.67,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ119,33.39,-11.67,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ12,33.63,-12.06,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ121,33.35,-11.71,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ120,33.38,-11.74,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ122,33.46,-11.67,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
MW lrep_MZ123,33.41,-11.63,1989,1989-01-01,1989-12-31,Landsat-4,,12665.26581107535,11328.886377472929,11337.052235825024,18318.748597391,14850.751965763326,11409.6378565894,5741.159072249156
