ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,QA_PIXEL
IRD_330,-16.50115433842547,14.586989131604517,2016,2016-01-01,2016-12-31,Landsat-8,9960.194430754063,10809.299162148842,12990.95588960079,15247.067028092659,19870.545342533263,26705.482750123207,23952.17422375554,21824.0
IRD_331,-16.49875955909807,14.58625183931935,2016,2016-01-01,2016-12-31,Landsat-8,9988.553034040455,10851.536753823386,12995.690429205724,15114.575974346324,19632.634681795756,26340.154415392204,23563.1077947706,21824.0
IRD_333,-16.498197975471275,14.586170947313878,2016,2016-01-01,2016-12-31,Landsat-8,10194.658604182414,11097.337868480723,13425.697656840512,15825.208868732676,20388.62988158226,27281.259259259255,24625.671201814057,21824.0
IRD_334,-16.499205695506213,14.586676594105084,2016,2016-01-01,2016-12-31,Landsat-8,10049.571180555557,10944.920882936507,13097.06498015873,15282.897321428569,19718.07787698412,26931.30828373016,24215.463541666664,21824.0
IRD_336,-16.50102358041284,14.588263479085722,2016,2016-01-01,2016-12-31,Landsat-8,9929.938408474996,10775.742547425474,12954.564671101258,15210.379896526238,19861.18822370041,26587.059620596207,23950.860064055192,21824.0
IRD_335,-16.501508638026653,14.588064589005976,2016,2016-01-01,2016-12-31,Landsat-8,9991.543617545587,10847.76688023657,13106.1118777723,15415.56456382454,19991.15253819616,26959.388122227698,24273.804337111877,21824.0
IRD_337,-16.50029454164805,14.588201475415351,2016,2016-01-01,2016-12-31,Landsat-8,9742.697657213317,10570.42120838471,12556.717879161528,14567.408877928481,19313.599753390874,25212.00369913686,22524.687053020956,21824.0
IRD_332,-16.497782153009755,14.585965052151655,2016,2016-01-01,2016-12-31,Landsat-8,10430.349801390266,11379.47070506455,13902.574230387287,16567.76861966236,21057.58862959285,28163.48609731876,25644.569513406153,21824.0
IRD_338,-16.499530022548022,14.588309220496948,2016,2016-01-01,2016-12-31,Landsat-8,9875.563932002957,10732.549889135256,12776.161123429418,14843.841340231584,19516.794530672578,25735.858585858587,23179.667652131066,21824.0
IRD_339,-16.499748512245855,14.589125162501942,2016,2016-01-01,2016-12-31,Landsat-8,9788.648928307466,10640.557526484356,12745.416851441241,14795.860064055187,19682.818674550384,24904.905888149795,22283.59866962306,21824.0
IRD_340,-16.50091231830327,14.58914342771206,2016,2016-01-01,2016-12-31,Landsat-8,9694.571815718158,10532.006159152503,12578.0068982508,14633.439270756344,19191.722591771373,25736.213845774826,22903.255481645727,21824.0
IRD_341,-16.501745073600187,14.589457749719223,2016,2016-01-01,2016-12-31,Landsat-8,10045.153978812512,10891.147326927814,13148.21975856122,15472.363636363634,20080.177383592018,27133.54126632175,24340.59398866716,21824.0
IRD_342,-16.501861583766274,14.590256032048515,2016,2016-01-01,2016-12-31,Landsat-8,10418.580684897757,11265.42030056664,13710.374969204237,16371.147080561714,20998.657797487063,27805.265089923625,25212.264350825328,21824.0
IRD_343,-16.500500928558765,14.59008829668596,2016,2016-01-01,2016-12-31,Landsat-8,10106.374086211245,10974.556087723719,13196.168389210987,15512.612805646586,20205.949584068567,26830.048147214522,24088.576254096297,21824.0
IRD_344,-16.49900704135796,14.589542338077592,2016,2016-01-01,2016-12-31,Landsat-8,10092.514666009367,11013.30663051516,13406.17377372443,15870.69805274834,20618.082573330055,27125.42420507765,24507.589844712846,21824.0
IRD_345,-16.497917274258178,14.590113471944946,2016,2016-01-01,2016-12-31,Landsat-8,10075.428254437873,10995.368589743588,13380.971646942802,15843.359960552269,20411.748520710058,27460.300049309662,24613.653106508886,21824.0
IRD_346,-16.498174722911376,14.590798066517566,2016,2016-01-01,2016-12-31,Landsat-8,9906.318305001229,10824.38383838384,13052.782212367576,15248.077112589308,19992.485833949246,26423.34910076373,23475.183542744515,21824.0
IRD_347,-16.494625218375305,14.587536558663414,2016,2016-01-01,2016-12-31,Landsat-8,10189.227642276423,11190.09632914511,13621.530426213354,16110.180832717417,20561.0140428677,27579.73786646957,24860.238482384822,21824.0
IRD_348,-16.495071027692436,14.58921324008151,2016,2016-01-01,2016-12-31,Landsat-8,10053.458600295711,10985.955396747164,13238.277969443074,15483.808279940855,19874.775505174955,27054.678905864956,24184.425579103,21824.0
IRD_349,-16.495578957569336,14.589338980872592,2016,2016-01-01,2016-12-31,Landsat-8,9993.804183467742,10940.753528225807,13209.507560483871,15482.998991935485,19853.581653225807,27174.730342741936,24272.91280241936,21824.0
IRD_350,-16.496647704012567,14.588963032491442,2016,2016-01-01,2016-12-31,Landsat-8,10086.707377866403,10984.516201395818,13223.825024925229,15546.752741774677,19967.03290129612,27324.731056829518,24623.79536390828,21824.0
IRD_351,-16.494890282142883,14.590200878680628,2016,2016-01-01,2016-12-31,Landsat-8,9931.17709359606,10807.7460591133,12898.53399014778,15112.976847290645,19667.231034482764,26618.307142857142,23644.130788177343,21824.0
IRD_353,-16.49560395154068,14.58661855369349,2016,2016-01-01,2016-12-31,Landsat-8,10248.40419235511,11218.417509247842,13640.009371146733,16114.812083847102,20697.139334155367,28074.537607891492,25337.00789149198,21824.0
IRD_354,-16.496219388498165,14.59345701363161,2016,2016-01-01,2016-12-31,Landsat-8,9835.241744701825,10723.718087727944,12839.956382454411,15024.645638245443,19435.93814687038,26178.4736323312,23288.76441596846,21824.0
IRD_355,-16.49567001979484,14.593202863713637,2016,2016-01-01,2016-12-31,Landsat-8,9973.153225806449,10846.594506048386,13070.519405241934,15357.350554435483,19745.36189516129,26741.405745967742,24027.54435483871,21824.0
IRD_352,-16.496094895825106,14.585560603449661,2016,2016-01-01,2016-12-31,Landsat-8,10267.118284869395,11202.439871858058,13652.945046821098,16165.024642681128,20762.43395761459,27790.355840315435,25041.622227698383,21824.0
